title,article,etc,time,current_time,like,comment,district
숙대입구역1번출구 열쇠꾸러미,"주섰는데 주인장님 챗 요망합니다 이틀전에도 올렸는데, 소식이 없네요","갈월동
·
분실/실종
·
약 9시간 전",약 9시간 전,2024-11-28 00:36:18,"좋아요 수
1","댓글 수
0",용산구
겨울 왕국,아름다워라! 겨울왕국! 그치?,"이촌제1동
·
동네풍경
·
약 9시간 전",약 9시간 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
0",용산구
겨울 첫눈기념,눈토끼를 찾아라,"후암동
·
동네풍경
·
약 9시간 전",약 9시간 전,2024-11-28 00:36:18,"좋아요 수
1","댓글 수
1",용산구
동네친구 해봐요오오오~~,용산구에사는 30대 중반이에요오오오~~ 동네친구가 없어서 이렇게! 하하하하 저는 남녀노소 다 좋아요옹~~ 잘 지내보아요오오옴!,"효창동
·
동네친구
·
약 10시간 전",약 10시간 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
5",용산구
긴급)방금 베베(강아지) 이촌공원~파크타워 쪽에서 보신분 찾아요,실종된 강아지가 금일 포획 중 다시 탈출했다고 합니다. 보신분들은 바로 사진과 목격장소 꼭 좀 댓글로 달아주세요,"한남동
·
분실/실종
·
약 11시간 전",약 11시간 전,2024-11-28 00:36:18,"좋아요 수
8","댓글 수
0",용산구
강아지를 찾습니다,방금 이촌역과 박물관사이길에서 13시20분경에 목격했다고해요!! 사진한번만 봐주시고 목격하신분 댓글 부탁드립니다 ㅠㅠ,"문배동
·
분실/실종
·
약 11시간 전",약 11시간 전,2024-11-28 00:36:18,"좋아요 수
8","댓글 수
1",용산구
지나가다 찍었어요,길이 이래요. 좀 멋찌지요,"갈월동
·
동네풍경
·
약 11시간 전",약 11시간 전,2024-11-28 00:36:18,"좋아요 수
3","댓글 수
0",용산구
LED 등기구 교체 (1개),현재 있는 형광등이 계속 새것으로 갈아끼워도 깜박여서 LED 등기구로 교체하려고 합니다. 교체/설치비가 얼마나 나올까요? * 기존 등기구 사이즈 - 가로45cm ×세로45cm,"이태원동
·
이사/시공
·
약 11시간 전",약 11시간 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
2",용산구
손기정공원,손기정 공원 오늘 러닝 할 수 있을까요? 제설이 되었을까 싶어서요,"청파동3가
·
운동
·
약 11시간 전",약 11시간 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
0",용산구
벽에 콘센트 2개 교체해주실분요 ,중림동 약현성당 근처입니다 작은방 벽면에 콘센트 2개 교체해주실분 계실까요 시간은 이번주 목요일 11시 30분 ~1시 사이 가능합니다,"동자동
·
생활/편의
·
약 12시간 전",약 12시간 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
5",용산구
상고대,눈 오는 날의 멋진 풍경,"이태원동
·
동네풍경
·
약 12시간 전",약 12시간 전,2024-11-28 00:36:18,"좋아요 수
2","댓글 수
0",용산구
조명 잘 아시는분!,자취방 조명인데 이런건 어떻게 교체하나요..? 천장에 붙어있는데..,"이태원제1동
·
생활/편의
·
약 13시간 전",약 13시간 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
2",용산구
용산->판교  출근 모두의 셔틀 모집,용산 -> 판교 모두의 셔틀 같이 신청해요~!! 용산-판교 대중교통 출퇴근 힘들어서 알아보다가 모두의 셔틀을 알게되었는데 후기도 좋고 이거 탈 수 있으면 출근길 너무 편할거같아요. 신청자 20명이 되면 노선 제작 검토에 들어가는데 현재 10명 신청한 상태래요~~ 신청방법은 모두의 셔틀 들어가셔서 직접 출발지 도착지 입력 후 알람받기 누르시면 됩니다! 아니면 제기 아래 동선으로 신청한 url이 있는데 여기서 '나도 알람받기' 누르셔도 됩니다! 남영역->판교로286 (7:40~7:50도착) https://url.kr/l55155,"한강로동
·
생활/편의
·
약 15시간 전",약 15시간 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
0",용산구
보행 장애 보조기구는 판매 안되나봐요?,그럼 어디 처분해야하죠? 재활병원 입원 준비로 샀다가 필요없어서 베란다만 차지하는 새 휠체어 보행기 등 여러 가지를 열심히 올렸다가 안된다는 문자 받았네요. 거래되는 걸 봤던 기억이 있는데 거 참. 혹시 거래 가능 사이트 아시면 부탁드려요.,"문배동
·
일반
·
약 15시간 전",약 15시간 전,2024-11-28 00:36:18,"좋아요 수
1","댓글 수
0",용산구
눈 내리는 국방부 & 대통령실 & 전쟁기념관 ,지나가다 찍었구먼유,"갈월동
·
동네풍경
·
약 15시간 전",약 15시간 전,2024-11-28 00:36:18,"좋아요 수
1","댓글 수
0",용산구
반지 사이즈 줄일 수 있는곳 있을까요?,금반지가 커서 줄여야하는데 이쪽동네에 가볼만한 곳이 있을까요? 아님 그냥 종로가서 해야할까요😅 비용도 얼마정도 하는지 아시는분 알려주세요! #반지 #금은방,"원효로1가
·
생활/편의
·
약 16시간 전",약 16시간 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
0",용산구
강아지 패딩 습득하신분. 저희 강아지 유품이에요. 사례할게요,1주 전쯤 이 강아지 패딩 습득하신 분 있나요? 무지개다리 건넌 우리 강아지 유품입니다. 제발 돌려주세요 사례할게요 초록냉장고 ~ 후암우체국 ~ 남산백범광장으로 다니는데 어딘지 정확히 모르겠어요. 아이 유품이라 집에만 두는 옷인데 하루 정도 급추워서 새로 입양한 아이한테 입혔다가 영 불편해하는 것 같아서 벗겨서 들고다녔던 기억이나요. 그리고 그 후로 몸에 맞는 옷을 구매했거든요. 사실 집안에 있는건지 잃어버린건지도 잘 모르겠어요. 아가 떠난뒤로 정리도 잘 못하고 많이 무너져있는데 괜히 빌려입혔나봐요. 이제 1년되가서 아직 다 잊지도 못하는데 눈 내리는거 좋아하던 애라 만지고 싶고 안고 싶어서 패딩이라도 안고있으려고 보니 없어서ㅜㅜ 왠지 그날 흘린 것 같아서 공황이 오고 불안해죽겠어요. 지금도 온 집안을 다 뒤졌는데 아직도 안 나오고 있는게 그 소중한걸 꼭 길에다 흘린것 같아서 저 미친것같아요ㅠ 등길이 40~ 정도 되는 스피츠가 입던거에요 사진에 있는 핑크색 패딩이고 루이스독 꺼고 후드에 큐빅이 있어요. 몸통에 나뭇가지에 비벼서 찢긴 자국이 있어요. 폐수종으로 아파서 죽은 아이가 입던 거에요ㅠㅠㅠ 만일 습득하셨다면 입히거나 판매하지마시고 저 제발 돌려주세요. 제가 사례금도 드리고 키우는 아이가 계시다면 패딩도 하나 사드리겠습니다. 제발 부탁드려요. 저 오매불망 알림만 기다려요 ㅠ 꼭찾길 바란다는 응원메세지는 좋아요로 대신해주세요. 습득하셨거나 보관중이시라면 댓글이나 연락부탁드려요 제발 부탁드려요 제발,"후암동
·
분실/실종
·
약 21시간 전",약 21시간 전,2024-11-28 00:36:18,"좋아요 수
7","댓글 수
2",용산구
만리동고개나 숙대에 호떡 파는 곳 있나요?,갑자기 호떡이 너무 먹고싶네용,"청파동1가
·
맛집
·
약 23시간 전",약 23시간 전,2024-11-28 00:36:18,"좋아요 수
1","댓글 수
4",용산구
삼일교회 길건너에 있는 가게 영업시간이 궁금합니다,삼일교회 길건너에 양말이랑 모자랑 파는 가게가 새로 열었던거 같은데 몇시부터 몇시까지 여는지 아시는 분 계신가요?,"청파동
·
생활/편의
·
약 24시간 전",약 24시간 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
1",용산구
여기 요새 장사 하시나여 ?? 몇시까지 하나욤 ㅠㅠ ,여기 요새 장사 하시나여 ?? 몇시까지 하나욤 ㅠㅠ,"이태원제1동
·
맛집
·
1일 전",1일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
1",용산구
후암동에 첫눈 오나요?,혹시 지금 후암동에 눈 오나요? 오늘 첫눈온다고 했는데 첫눈 꼭 보고싶네요 ㅎㅎ 밖에 계신분들 소식좀 전해주세요 #첫눈,"후암동
·
동네풍경
·
1일 전",1일 전,2024-11-28 00:36:18,"좋아요 수
2","댓글 수
5",용산구
귀여운게 최고야! 모루인형만들기🧚‍♀️,손재주 없어도 금방 만들 수 있는데 요즘 유행하는 키링이나 데코용도 가능하대요 세상 귀여운 모루인형 같이 만들어 보실 분 아는 친구가 손재주가 있어서 배워보려하는디 용산 이쁜 카페에서 원데이 클래스처럼 같이 배워보실 분~~~🧸 #귀여운게제일임#사부작사부작#모루인형#원데이클래스,"한남동
·
취미
·
1일 전",1일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
3",용산구
독서,지금 만나서 카페에서 책 읽으실 분 계실까요? 오늘 하루종일 방탕하게 보낸 것 같아서 독서라도 하려고요,"효창동
·
동네친구
·
1일 전",1일 전,2024-11-28 00:36:18,"좋아요 수
2","댓글 수
1",용산구
공덕역 정형외과,공덕역에 정형외과 여러개 있던데 괜찮은곳이 어디인가요???,"효창동
·
병원/약국
·
1일 전",1일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
1",용산구
이안프리미어 후문쪽 공원앞 붕어빵,이안프리미어 후문 공원에 붕어빵차 왔어요 너무 맛있어요 식었는데도 바삭바삭하고 팥과 슈가 듬뿍#붕어빵,"문배동
·
맛집
·
1일 전",1일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
4",용산구
저만 이런 가용... 당근마켓 앱 이용하다보면 가끔 화면 터치해서 전환할 때 흰화면만 나오고 손가락으로 다시 터치하면 화면이 전환됩니다.,궁금해요...원래 안 이랬던 거 같은데..,"한강로동
·
생활/편의
·
1일 전",1일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
1",용산구
오늘 무언의  무한리필 삼겹살 저녁 드실 분 없나요,2일 전에 글 썼었는데 오늘 개땡기네요. 숙대입구역 근처가고 싶은데1인은 안 받아서요 #무한리필#삼겹살#묵언수행,"청파동
·
동네친구
·
1일 전",1일 전,2024-11-28 00:36:18,"좋아요 수
2","댓글 수
3",용산구
경리단 인터넷 뭐 쓰세요?,SK 쓰다가 잘 끊겨서 KT 로 갈아탔는데 집들이 다닥다닥 붙어있어서 이웃집 와이파이가 막 잡혀 그런가 이것도 속시원하진 않네요. 이태원 초등학교 근방~경리단 사시는 분들 인터넷 어느 회사꺼 쓰시나요? 그나마 속시원한건 어느 회사일까요?,"이태원제1동
·
생활/편의
·
1일 전",1일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
0",용산구
눈사람 만들사람???⛄️,내일 눈 온다는데 같이 눈사람 만드러여!!! 눈이 안 오는 곳에서 상경해서 눈사람 만드는게 로망입니다🥹 또래인게 편해서 20대 초중반이면 좋겠어요,"청파동3가
·
동네친구
·
1일 전",1일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
3",용산구
초록색 비비안웨스트우드 반지갑 분실,어제 밤 10시 반 이후 원효로1가에서 반지갑 잃어버렸는데 습득하신 분은 연락주시면 감사하겠습니다,"원효로1가
·
분실/실종
·
1일 전",1일 전,2024-11-28 00:36:18,"좋아요 수
1","댓글 수
0",용산구
가구 리퍼브 마켓 있나요?,이사 예정이라 서울 경기 좋으니 괜찮은 가구 리퍼브 매장 추전 해주세요,"용산동2가
·
일반
·
1일 전",1일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
0",용산구
전기구이 통닭 보셨나요??,길가에 트럭에서 파는 전기구이 통닭 최근에 보신적 있으신가요?? 부모님이 드시고싶어하셔서 찾는데 통 안보이네용 이태원이나 보광동 서빙고 등등 목격하신분 알려주세요~~,"이태원제2동
·
맛집
·
1일 전",1일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
6",용산구
저번주 못나오셨는데 오늘 나오셨네요^^,삼각지 고가밑에 호반베르디윰 앞에 옛날가마솥순대차,"한강로2가
·
맛집
·
1일 전",1일 전,2024-11-28 00:36:18,"좋아요 수
1","댓글 수
2",용산구
삼각지 고가 길냥이들,안녕하세요 삼각지 고가 밑에 길냥이들이 오랫동안 잘 지냈는데 캣맘분들이 집처럼 만들어주시고 밥도 잘 챙겨주신걸로 알아요 저도 가끔 지나가다 간식 주고 그랬는데 한마리는 사람도 쫒아다니고 개냥이 스타일이에요 얼마전부터 한번에 고양이가 보이지 않아서 걱정되는맘에 혹시나 아시는게 있으신분 계신지 글 올려보아요 밑에 사진처럼 저런 안내문 같은게 붙어져있고 아이들이 보이지않는데 아시는분 계신가요 ㅜ ㅜ,"한강로1가
·
반려동물
·
1일 전",1일 전,2024-11-28 00:36:18,"좋아요 수
4","댓글 수
4",용산구
일본어 과외 받고 싶습니다.,"제가 일본을 자주가는데 일본어를 전혀 못해서요. 용산 지역이면 어디든 갈수 있습니다. 의지가 약해서 온라인은 자신없고,오프라인으로 받고 싶습니다.","용산동2가
·
교육
·
1일 전",1일 전,2024-11-28 00:36:18,"좋아요 수
1","댓글 수
3",용산구
후암동 드라이 세탁소 추천,안녕하세요 후암동에 막 이사 왔습니다. 코트를 맡길 추천 세탁소가 있을까요? 후암동 생활력 만랩 주민분들의 추천을 기대하며 글을 남깁니다. 고맙습니다 💓,"후암동
·
생활/편의
·
1일 전",1일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
2",용산구
같이 춤 추실분 있을까요?,"저도 몸 만들겸 연습실 빌려서 할예정이고 연습실은 한남동이나 방배동쪽으로 알아볼려고 하고요~~~ 혼자 하기 심심하다 보니... 같이 하실분 있나해서 남겨요.. 춤기초 없는분도 괜찮아요 나이 있으셔도 괜찮아요 통통,뚱뚱 하셔도 괜찮아요 싹다 없애드리고 같이 건강해져요^^ 저는 뮤지컬배우하다가 수업만 10년이상 했고 2년전부터 일반 회사를 다니다 보니 몸이 너무 망가져 만들어야 겠는데 혼자하면 너무 개을러져 안할것 같고 그래서 같이 할분을 찾네요 관심 있으신 분은 답글 남겨주세요 진행은 매주 토,일 오전 7시~9시까지 합니다.","보광동
·
운동
·
1일 전",1일 전,2024-11-28 00:36:18,"좋아요 수
2","댓글 수
0",용산구
이번 스타벅스 증정품 예약 너무 힘드네요.,"이번 스타벅스 증정품 예약 너무 힘드네요. 이번에 램프 4종 나온거 괜찮은 듯 해서 스티커 2주 전에 다 모았거든요. 원하는 램프가 있긴 했지만, 시간이 지나도 계속 매진이길래 아무 램프나 받자 마음먹고 아침 7시에 매일 들여다보는데… 사람들 보는 눈이 다 똑같은건지.. 그냔 포기하고 다이어리나 받아야겠어요.","효창동
·
취미
·
1일 전",1일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
0",용산구
카페에서 책 같이 읽으실 분?!,용산에서 프리랜서로 일하는 직장인인데 점심 시간에 여유가 좀 있어서 이번주 수목 중 12시에 카페에서 책 같이 읽으실 분 있나요~?? 저는 20대 후반 여자입니다! 같이 책 읽고 담소 나눌 분 연락주세요~ #용산 #카페 #독서,"갈월동
·
취미
·
1일 전",1일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
5",용산구
티비스탠드 설치,모블랩스에서 티비 스탠드를 구입했는데 설치가능하신 분 계신가요..? ㅠㅠ65인치 티비 입니다!,"용산2가동
·
일반
·
1일 전",1일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
2",용산구
등원도우미가 하고싶은데 인증번호가 뜨질않아 신청 못하고 있어요,봉천동 관악우성아파트 계신분 신청해주세요 단기.가능합(돌봄활동가 자격증있음),"이촌제1동
·
교육
·
1일 전",1일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
0",용산구
안경을 잃어버렸어요…,"안경 습득하신분 계시면 꼭 연락바랍니다. 충분한 사례 하겠습니다. 검은색 룩옵티컬 안경케이스에 넣어둔채로 분실한거같아요. 케이스가 없더라도 뮤지엄 바이비컨 검정색 안경테에 변색렌즈로 맞춘 상태라서 외부에선 어두운색으로 변색됩니다. 분실 장소는 전혀 추측이 안되지만 효창공원역 주변, 용산경찰서 주변, 삼각지역 주변, 국방부 외/내부 정도로 생각하고 있습니다. 습득하신분 계시면 사례는 충분히 할테니 꼭 좀 연락부탁드립니다. 어디서 습득했건 뭐건 중요치 않습니다 저는 찾기만 했음 좋겠네요…","원효로1가
·
분실/실종
·
2일 전",2일 전,2024-11-28 00:36:18,"좋아요 수
1","댓글 수
0",용산구
우리들 꼬치,우리들 꼬치 영업 종료됐나요? 찾아봐도 안 뜨네요ㅠㅠ 양꼬치랑 꿔바로우 맛집인데 아시는분ㅠㅠ,"이촌제2동
·
맛집
·
2일 전",2일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
1",용산구
지금 코노 가실분,지디 노래가 너무 부르고싶어요 코노 가실분?,"청파동1가
·
동네친구
·
2일 전",2일 전,2024-11-28 00:36:18,"좋아요 수
2","댓글 수
5",용산구
이촌동 영어회화 스터디,안녕하세요 이촌동 영어 회화 스터디 충원합니다 영어 감 잃기 싫으신 분들 함께해요! 시간 : 일요일 10시-12시 장소 : 동네 카페 진행 방식 : 프리토킹 다양한 주제를 가지고 프리토킹합니다. 사회 경제 문화 등 여러 시사 이슈에 대해서 본인 생각을 자유롭게 표현하실 수 있는 수준이시면 됩니다. 자유로운 의사 표현이 어려우신 분은 버거우실 수 있습니다ㅠ 관심있으신 분은 댓글 부탁드려요,"이촌제1동
·
취미
·
2일 전",2일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
1",용산구
혹시 퍼스 어플 써보신 분 계신가요?,(혹시 어플 언급 안 되는 거면 말씀 해주세요.) 지금 인터넷 약정이 끝난 상태라 재약정이나 타 통신사로 갈아타려는데 검색하다 보니 퍼스라는 어플로 알아보라길래 설치해 보니 정말로 지원금을 많이 주긴 하는데.. 근데 이게 뭐 어떤 형식으로 진행되는 건지 신뢰할 수 있는 건지 걍 상담받고 대리점? 방문해서 설치 신청하면 되는 건지 모르겠네요 후기는 많던데 그래도 동네에서 실제로 사용해본 분 계시면 후기 부탁드립니다요.,"원효로3가
·
일반
·
2일 전",2일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
0",용산구
1톤 화물 움직일수 있으신분,대흥동 세양아파트상가에서 원종동으로 냉장고랑 선반하나 정수기하나 소독기하나 배송해주실분 계실까요? 냉장고는 두분이서 움직이셔야될듯해서 두분이 필요합니다. 1층에서 1층입니다. 금액은 조율해보아요.,"이촌동
·
이사/시공
·
2일 전",2일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
1",용산구
용산아이파크몰 풋살장 평일야간 여성풋살팀원 모집합니다,"용산아이파크몰 풋살장 평일야간 여성풋살팀원 모집합니다 장소 : 용산아이파크몰 옥상 야외 풋살장 날짜 : 주로 화 목 (항상 주2회 운동하며 전주 투표에 맘에드는날 택1투표) 화요일은 초중급 , 목요일은 왕초보팀 진행중입니다 연령 : 주로 20~30대 (당근에서 전부 다 모였어요) 시간 : 22시~24시 고정이에요 월구장예약비(회비) : 4~5만원 내용 : 초보 여성분들로 구성된 그냥 순수 아마추어팀이구여(아카데미나 학원아닙니다~) 기본 트레이닝과 경기 같이 병행하고있습니다~⚽️ 초보이신분 , 풋살 한번도 안해보신분 모두 환영합니다👍🏻 팀분위기 정말 좋구여 풋살 및 축구좋아하시는분 모두 모여서 지금도 즐겁게 운동하고있어요 혹시 관심있으신분 계시면 이번 기회에 댓글 남겨주시면 답변 드리겠습니다 ~~☺️ 팀 인스타그램 https://www.instagram.com/bmd_yongsan/profilecard/?igsh=ZGd3bjlicGgwZG90","한강로동
·
취미
·
2일 전",2일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
0",용산구
턱시도 고양이 찾습니다 ㅜㅜ,"사실 문/창문을 계속 닫아두어 나갈 구멍이 없어서 나갔을 가능성이 거의 없긴 한데, 공간 안에서 아무리 찾아보아도 나오질 않아 혹시나 해서 글 올려봅니다. 나이는 한살이 조금 안되었고 이름은 그냥 입니다. 낯을 좀 가리긴 하지만 사람을 심하게 좋아해요. 거의 강아지 수준으로 핥는 편이라, 혹시나 어디 틈새로라도 나갔다면 누군가 따라갔나 싶어서 글 올려봅니다. 정말 걱정이네요...","후암동
·
분실/실종
·
2일 전",2일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
0",용산구
뻥튀기 대용량 폐기처리...,이게 너무 많아서 어떻게 처리해야될지.. 음식물처리를 해야된다는데 어떻게 하죠ㅋㅋ 이사가야되는데 처치곤란이네요ㅜ 이번해초인가? 산거라 오래되서 누구주기도 뭐하고 난감쓰,"효창동
·
고민/사연
·
2일 전",2일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
5",용산구
스코티시폴드 주인찾아요/한남동힐스테이트,스코티시폴드 하얀색 밝은 베이지 고양이 스코티시 폴드 주인을 애타게 찾아요 힐스테이트아파트 정자쪽에 계속 돌아다녀요 #한남동 #스코티시폴드,"한남동
·
분실/실종
·
2일 전",2일 전,2024-11-28 00:36:18,"좋아요 수
3","댓글 수
2",용산구
숙대역 코노 가실분?!,혹시 퇴근길 숙대에 케이팝 코인노래방에서 함께 하실분 계신가요? 마감 6시,"후암동
·
취미
·
2일 전",2일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
0",용산구
차량열쇠 꾸러미 습득,"숙대입구역1번 출구 근처에서자동차키등 열쇠뭉치를 길바닥에서 주웠는데, 일단 주어서 한승경피부과 차량안내 아저씨 드렸는데요. 주인분 댓글 주심 드리께요 #숙대입구역","갈월동
·
분실/실종
·
2일 전",2일 전,2024-11-28 00:36:18,"좋아요 수
2","댓글 수
0",용산구
중2 남자아이 글씨교정 선생님을 찾습니다 ,중2 남자아이 글씨교정 선생님을 찾습니다. 아이가 글씨가 너무 악필인데 고등들어가기전에 글씨를 교정해야한다는 선생님의 조언을 여러차례들어서 이번 겨울에 꼭 교정을 해주고 싶은데 마포구나 근처에는 학원이 따로 없는것 같아요. 혹시 이쪽으로 알고 계신 선생님이 계시다면 소개부탁드립니다.,"신계동
·
일반
·
2일 전",2일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
0",용산구
필라테스 받고 자세 교정 했어요  ,자세 교정 필요해서 펠리즈필라테스 다녀요 허리가 좀 틀어진 편이라서 도수치료도 몇 번씩 다녔는데 전혀 소용 없길래 필라테스로 갈아탔어요 근데 두 달 넘게 다니고 나니까 허리통증도 많이 없어지고 자세교정도 되서 다들 살빠졌냐고 물어보네요 확실히 교정하는 효과가 있긴 있나봐요,"한강로동
·
미용
·
2일 전",2일 전,2024-11-28 00:36:18,"좋아요 수
1","댓글 수
0",용산구
후암동 고양이 집사 모임을 만들었습니다!,"“후암동 냥집사 모여라“ 당근에서 🥕 검색해주시면 들어오실 수 있어요! 고양이를 키우거나 좋아하시는 분들의 모임을 만들었습니다! 후암동 외 해방촌이나 남영동 등 주변에 근무하시거나 생활하시는 모든 분들을 환영합니다 🤗 둘째 고양이를 입양하고 후암이로 이름을 지으면서 동네의 고양이 좋아하시는 분들의 커뮤니티가 있으면 좋겠다는 생각이 들었어요, 강아지처럼 산책을 할 수 없으니 집에만 있는데 유튜브나 네이버 블로그에서 정보를 얻는 건 한계가 있더라구요 ㅎㅎ 첫째 고양이가 방광염 및 경련 증세로 오래 아파서 고양이 병원 정보는 나름 빠삭하게 알고있어요, 후암동과 해방촌 주변 병원 뿐만 아니라 차타고 나가야하는 24시간 병원이나 특정 질환을 잘보는 병원들… 옥수동, 한남동, 공덕역 ,성북동, 청담동 여러 군데를 전전하다보니 결국엔 현재는 냥쌤 나응식 수의사님께 진료를 받고있습니다 😹 한남동 큰 병원에서 진료받다가 핸들링 문제로 병원과 이동장 트라우마가 생기기도 했구요, 비싸다고 또는 싸다고 좋은 병원이 아니더라구요 혹시 1인 수의사 선생님께 처치하는 모습을 옆에서 지켜보고 싶으신 분들은 공덕역 굿모닝 동물병원 백결 원장선생님 추천드립니다! 건물이 커서 주차도 쉽고 굉장히 친절하세요, 고양이 수의사회 이사님이셔서 큰 병원으로의 연계도 잘 해주십니다. 규모는 작아도 항상 선생님께 의지가 되고 믿고 가는 병원입니다. 남는 사료나 모래가 있으면 교환하거나 나눔도 진행해보고, 고양이 생활이나 고충을 공유하는 모임이 되었으면 좋겠어요! 저는 고양이 문제행동과 환경풍부화에 관심이 많습니다. 여태껏 집사생활하며 산 낚시대가 아마 100개는 될거예요….먹이장난감도 한 10개…? 방광염이 스트레스로 발현되다보니 진짜 안 한게 없는 것 같네요 ㅋㅋ 영종도 옆 신도에서 데려온 저희 첫째 신도 사진 공유합니다 ^^ 고양이를 좋아하는 사람들의 많은 관심과 참여 부탁드려요 🫶🐱🫶","후암동
·
반려동물
·
2일 전",2일 전,2024-11-28 00:36:18,"좋아요 수
6","댓글 수
0",용산구
맛집,맛집 추천 부탁드려요,"용산동3가
·
맛집
·
2일 전",2일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
0",용산구
"오래된 전화기, 전자기기들 다들 어떻게 처분하시나요?","오래된 전화기들 쌓아둔지 오래되서 처분해야 하는데 이런건 다들 어떻게 처리하시나요? 어디 싸게 팔데가 있는지, 재활용품으로 수거할수있는지 궁금합니다.","용산동6가
·
생활/편의
·
2일 전",2일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
1",용산구
코드제로 로보킹 올인원 제품 사용하시는분계세요 ?,구매하고싶은데 후기가 그닥안좋아서 고민중인데 어떠세요 ??,"한강로2가
·
생활/편의
·
2일 전",2일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
0",용산구
강아지 잃어버리신 분,강아지 잃어버리신 분 계신가요? 지금 저희동네에 혼자 길잃은 듯 위험하게 다니는데 걱정되네요ㅠㅠ 경리단길 근처입니다,"이태원동
·
반려동물
·
2일 전",2일 전,2024-11-28 00:36:18,"좋아요 수
2","댓글 수
4",용산구
"신용산, 용산 인근 도수치료 잘하는",병원 추천해 주세요! 디스크랑 다리 저림이 있어서요 ㅠㅠ,"용산동5가
·
병원/약국
·
2일 전",2일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
1",용산구
용산 전자랜드 신관 4층에서 로봇전시체험 ,"용산 전자랜드 4층에서 아이들을 위한 장소를 기획하고 있습니다! 로봇 전시 체험으로 보통 로봇 만지지 못하고 눈으로만 보는 경우가 많은데 여긴 직접 만지고 체험 해볼 수 있게 기획 하고 있습니다! B2B / B2C 그리고 로봇 전시 체험까지!! RC 카 트랙도 있어서 여러 즐거움을 경험 할 수 있어요! 전시체험일정 12월 2일 12월 15일까지 무료 입장 및 체험 가능 아이들도 어른들도 다양하게 체험해보세요! 반려로봇, 대화로봇, 자동 골프 카트, 자동 캠핑 웨건, 200만원대 변신 로봇, 로봇개, RC 카 조종 , RC 로봇 장난감 느긋하게 전자기기 구경 하면서 4층으로 올라와 체험해보세요!! 용산 전자랜드 벤츠매장 방면 4층으로 올라오시면 됩니다! #용산 #전자랜드#로봇전시체험 #트랜스포머 # 용산전자랜드 4층 #서빙로봇 #방역로봇 #로봇개","원효로3가
·
교육
·
2일 전",2일 전,2024-11-28 00:36:18,"좋아요 수
0","댓글 수
0",용산구
